site,date,Date,h_m
MW1,2019-09-20,2019-09-20,2747.775577777778
MW1,2019-09-21,2019-09-21,2747.7729930555556
MW1,2019-09-22,2019-09-22,2747.7645
MW1,2019-09-23,2019-09-23,2747.756909722222
MW1,2019-09-24,2019-09-24,2747.7501041666665
MW1,2019-09-25,2019-09-25,2747.7408194444442
MW1,2019-09-26,2019-09-26,2747.7356875
MW1,2019-09-27,2019-09-27,2747.7278194444443
MW1,2019-09-28,2019-09-28,2747.7239375
MW1,2019-09-29,2019-09-29,2747.7172569444447
MW1,2019-09-30,2019-09-30,2747.7097083333333
MW1,2019-10-01,2019-10-01,2747.7038125
MW1,2019-10-02,2019-10-02,2747.6959375
MW1,2019-10-03,2019-10-03,2747.688423611111
MW1,2019-10-04,2019-10-04,2747.6858888888887
MW1,2019-10-05,2019-10-05,2747.679166666667
MW1,2019-10-06,2019-10-06,2747.6731458333334
MW1,2019-10-07,2019-10-07,2747.6711666666665
MW1,2019-10-08,2019-10-08,2747.6677291666665
MW1,2019-10-09,2019-10-09,2747.6640347222224
MW1,2019-10-10,2019-10-10,2747.6527847222223
MW1,2019-10-11,2019-10-11,2747.6502638888887
MW1,2019-10-12,2019-10-12,2747.6552708333334
MW1,2019-10-13,2019-10-13,2747.6512916666666
MW1,2019-10-14,2019-10-14,2747.648875
MW1,2019-10-15,2019-10-15,2747.644611111111
MW1,2019-10-16,2019-10-16,2747.643201388889
MW1,2019-10-17,2019-10-17,2747.641902777778
MW1,2019-10-18,2019-10-18,2747.637513888889
MW1,2019-10-19,2019-10-19,2747.632847222222
MW1,2019-10-20,2019-10-20,2747.625611111111
MW1,2019-10-21,2019-10-21,2747.6217430555557
MW1,2019-10-22,2019-10-22,2747.6234444444444
MW1,2019-10-23,2019-10-23,2747.6204930555555
MW1,2019-10-24,2019-10-24,2747.613604166667
MW1,2019-10-25,2019-10-25,2747.617822580645
MW1,2019-10-26,2019-10-26,2747.622701388889
MW1,2019-10-27,2019-10-27,2747.6057638888888
MW1,2019-10-28,2019-10-28,2747.6041111111113
MW1,2019-10-29,2019-10-29,2747.5776805555556
MW1,2019-10-30,2019-10-30,2747.5699652777776
MW1,2019-10-31,2019-10-31,2747.60075
MW1,2019-11-01,2019-11-01,2747.595
MW1,2019-11-02,2019-11-02,2747.5970069444443
MW1,2019-11-03,2019-11-03,2747.5956875
MW1,2019-11-04,2019-11-04,2747.591673611111
MW1,2019-11-05,2019-11-05,2747.5895555555558
MW1,2019-11-06,2019-11-06,2747.585951388889
MW1,2019-11-07,2019-11-07,2747.580701388889
MW1,2019-11-08,2019-11-08,2747.5895833333334
MW1,2019-11-09,2019-11-09,2747.583111111111
MW1,2019-11-10,2019-11-10,2747.5809027777777
MW1,2019-11-11,2019-11-11,2747.571638888889
MW1,2019-11-12,2019-11-12,2747.5785833333334
MW1,2019-11-13,2019-11-13,2747.5748541666667
MW1,2019-11-14,2019-11-14,2747.5697638888887
MW1,2019-11-15,2019-11-15,2747.5699444444444
MW1,2019-11-16,2019-11-16,2747.5672569444446
MW1,2019-11-17,2019-11-17,2747.5661944444446
MW1,2019-11-18,2019-11-18,2747.565472222222
MW1,2019-11-19,2019-11-19,2747.564590277778
MW1,2019-11-20,2019-11-20,2747.5611597222223
MW1,2019-11-21,2019-11-21,2747.5532083333333
MW1,2019-11-22,2019-11-22,2747.5542708333332
MW1,2019-11-23,2019-11-23,2747.5560555555553
MW1,2019-11-24,2019-11-24,2747.5576180555554
MW1,2019-11-25,2019-11-25,2747.5539236111113
MW1,2019-11-26,2019-11-26,2747.5408541666666
MW1,2019-11-27,2019-11-27,2747.5355972222223
MW1,2019-11-28,2019-11-28,2747.5493194444443
MW1,2019-11-29,2019-11-29,2747.5514375
MW1,2019-11-30,2019-11-30,2747.5417569444444
MW1,2019-12-01,2019-12-01,2747.549125
MW1,2019-12-02,2019-12-02,2747.5524930555557
MW1,2019-12-03,2019-12-03,2747.5480625
MW1,2019-12-04,2019-12-04,2747.5471180555555
MW1,2019-12-05,2019-12-05,2747.5425833333334
MW1,2019-12-06,2019-12-06,2747.5405277777777
MW1,2019-12-07,2019-12-07,2747.5413333333336
MW1,2019-12-08,2019-12-08,2747.5384444444444
MW1,2019-12-09,2019-12-09,2747.5314791666665
MW1,2019-12-10,2019-12-10,2747.5289930555555
MW1,2019-12-11,2019-12-11,2747.5318333333335
MW1,2019-12-12,2019-12-12,2747.530763888889
MW1,2019-12-13,2019-12-13,2747.5279375
MW1,2019-12-14,2019-12-14,2747.528152777778
MW1,2019-12-15,2019-12-15,2747.5163125
MW1,2019-12-16,2019-12-16,2747.498625
MW1,2019-12-17,2019-12-17,2747.5189930555557
MW1,2019-12-18,2019-12-18,2747.5278541666667
MW1,2019-12-19,2019-12-19,2747.5233055555555
MW1,2019-12-20,2019-12-20,2747.528423611111
MW1,2019-12-21,2019-12-21,2747.5303958333334
MW1,2019-12-22,2019-12-22,2747.527340277778
MW1,2019-12-23,2019-12-23,2747.5220833333333
MW1,2019-12-24,2019-12-24,2747.5205347222222
MW1,2019-12-25,2019-12-25,2747.5168194444445
MW1,2019-12-26,2019-12-26,2747.5064166666666
MW1,2019-12-27,2019-12-27,2747.4944375
MW1,2019-12-28,2019-12-28,2747.5067222222224
MW1,2019-12-29,2019-12-29,2747.498541666667
MW1,2019-12-30,2019-12-30,2747.503784722222
MW1,2019-12-31,2019-12-31,2747.508208333333
MW1,2020-01-01,2020-01-01,2747.519909722222
MW1,2020-01-02,2020-01-02,2747.5096944444444
MW1,2020-01-03,2020-01-03,2747.5054791666666
MW1,2020-01-04,2020-01-04,2747.509486111111
MW1,2020-01-05,2020-01-05,2747.505972222222
MW1,2020-01-06,2020-01-06,2747.4978680555555
MW1,2020-01-07,2020-01-07,2747.5037569444444
MW1,2020-01-08,2020-01-08,2747.506701388889
MW1,2020-01-09,2020-01-09,2747.498076388889
MW1,2020-01-10,2020-01-10,2747.48425
MW1,2020-01-11,2020-01-11,2747.5034652777777
MW1,2020-01-12,2020-01-12,2747.501798611111
MW1,2020-01-13,2020-01-13,2747.506388888889
MW1,2020-01-14,2020-01-14,2747.5125069444443
MW1,2020-01-15,2020-01-15,2747.4988402777776
MW1,2020-01-16,2020-01-16,2747.494076388889
MW1,2020-01-17,2020-01-17,2747.5019375
MW1,2020-01-18,2020-01-18,2747.4969166666665
MW1,2020-01-19,2020-01-19,2747.499479166667
MW1,2020-01-20,2020-01-20,2747.501041666667
MW1,2020-01-21,2020-01-21,2747.5095069444446
MW1,2020-01-22,2020-01-22,2747.5017430555554
MW1,2020-01-23,2020-01-23,2747.4971319444444
MW1,2020-01-24,2020-01-24,2747.5013680555558
MW1,2020-01-25,2020-01-25,2747.4987083333335
MW1,2020-01-26,2020-01-26,2747.4985625
MW1,2020-01-27,2020-01-27,2747.4959930555556
MW1,2020-01-28,2020-01-28,2747.4916944444444
MW1,2020-01-29,2020-01-29,2747.4921458333333
MW1,2020-01-30,2020-01-30,2747.4877152777776
MW1,2020-01-31,2020-01-31,2747.4889166666667
MW1,2020-02-01,2020-02-01,2747.493215277778
MW1,2020-02-02,2020-02-02,2747.495847222222
MW1,2020-02-03,2020-02-03,2747.4762083333335
MW1,2020-02-04,2020-02-04,2747.4370555555556
MW1,2020-02-05,2020-02-05,2747.4649375
MW1,2020-02-06,2020-02-06,2747.4794583333332
MW1,2020-02-07,2020-02-07,2747.480034722222
MW1,2020-02-08,2020-02-08,2747.4813402777777
MW1,2020-02-09,2020-02-09,2747.4704166666666
MW1,2020-02-10,2020-02-10,2747.4684722222223
MW1,2020-02-11,2020-02-11,2747.458611111111
MW1,2020-02-12,2020-02-12,2747.4622222222224
MW1,2020-02-13,2020-02-13,2747.4644444444443
MW1,2020-02-14,2020-02-14,2747.4719375
MW1,2020-02-15,2020-02-15,2747.4693819444446
MW1,2020-02-16,2020-02-16,2747.4689930555555
MW1,2020-02-17,2020-02-17,2747.4595069444445
MW1,2020-02-18,2020-02-18,2747.4469027777777
MW1,2020-02-19,2020-02-19,2747.433951388889
MW1,2020-02-20,2020-02-20,2747.422576388889
MW1,2020-02-21,2020-02-21,2747.4626458333332
MW1,2020-02-22,2020-02-22,2747.462
MW1,2020-02-23,2020-02-23,2747.4580416666668
MW1,2020-02-24,2020-02-24,2747.4499791666667
MW1,2020-02-25,2020-02-25,2747.4358055555554
MW1,2020-02-26,2020-02-26,2747.445875
MW1,2020-02-27,2020-02-27,2747.4507777777776
MW1,2020-02-28,2020-02-28,2747.4531875000002
MW1,2020-02-29,2020-02-29,2747.4548680555554
MW1,2020-03-01,2020-03-01,2747.448965277778
MW1,2020-03-02,2020-03-02,2747.4449791666666
MW1,2020-03-03,2020-03-03,2747.4476250000002
MW1,2020-03-04,2020-03-04,2747.4488333333334
MW1,2020-03-05,2020-03-05,2747.446159722222
MW1,2020-03-06,2020-03-06,2747.4479166666665
MW1,2020-03-07,2020-03-07,2747.4480416666665
MW1,2020-03-08,2020-03-08,2747.4494097222223
MW1,2020-03-09,2020-03-09,2747.447583333333
MW1,2020-03-10,2020-03-10,2747.447236111111
MW1,2020-03-11,2020-03-11,2747.4507222222223
MW1,2020-03-12,2020-03-12,2747.4487916666667
MW1,2020-03-13,2020-03-13,2747.4439166666666
MW1,2020-03-14,2020-03-14,2747.444159722222
MW1,2020-03-15,2020-03-15,2747.4476597222224
MW1,2020-03-16,2020-03-16,2747.4475555555555
MW1,2020-03-17,2020-03-17,2747.452152777778
MW1,2020-03-18,2020-03-18,2747.4566666666665
MW1,2020-03-19,2020-03-19,2747.454888888889
MW1,2020-03-20,2020-03-20,2747.4496944444445
MW1,2020-03-21,2020-03-21,2747.4535347222222
MW1,2020-03-22,2020-03-22,2747.450736111111
MW1,2020-03-23,2020-03-23,2747.4506805555557
MW1,2020-03-24,2020-03-24,2747.451451388889
MW1,2020-03-25,2020-03-25,2747.4524652777777
MW1,2020-03-26,2020-03-26,2747.4513125
MW1,2020-03-27,2020-03-27,2747.4480972222223
MW1,2020-03-28,2020-03-28,2747.442972222222
MW1,2020-03-29,2020-03-29,2747.4446041666665
MW1,2020-03-30,2020-03-30,2747.4424166666668
MW1,2020-03-31,2020-03-31,2747.4481458333335
MW1,2020-04-01,2020-04-01,2747.4519930555557
MW1,2020-04-02,2020-04-02,2747.4471875
MW1,2020-04-03,2020-04-03,2747.4391319444444
MW1,2020-04-04,2020-04-04,2747.448986111111
MW1,2020-04-05,2020-04-05,2747.449791666667
MW1,2020-04-06,2020-04-06,2747.458145833333
MW1,2020-04-07,2020-04-07,2747.4684513888888
MW1,2020-04-08,2020-04-08,2747.478416666667
MW1,2020-04-09,2020-04-09,2747.4871736111113
MW1,2020-04-10,2020-04-10,2747.4997777777776
MW1,2020-04-11,2020-04-11,2747.507722222222
MW1,2020-04-12,2020-04-12,2747.4931180555554
MW1,2020-04-13,2020-04-13,2747.4809791666667
MW1,2020-04-14,2020-04-14,2747.4845416666667
MW1,2020-04-15,2020-04-15,2747.4950902777778
MW1,2020-04-16,2020-04-16,2747.4895486111113
MW1,2020-04-17,2020-04-17,2747.493263888889
MW1,2020-04-18,2020-04-18,2747.495625
MW1,2020-04-19,2020-04-19,2747.492548611111
MW1,2020-04-20,2020-04-20,2747.4926666666665
MW1,2020-04-21,2020-04-21,2747.495423611111
MW1,2020-04-22,2020-04-22,2747.5003194444444
MW1,2020-04-23,2020-04-23,2747.5070416666667
MW1,2020-04-24,2020-04-24,2747.514173611111
MW1,2020-04-25,2020-04-25,2747.521222222222
MW1,2020-04-26,2020-04-26,2747.532527777778
MW1,2020-04-27,2020-04-27,2747.5476597222223
MW1,2020-04-28,2020-04-28,2747.5632083333335
MW1,2020-04-29,2020-04-29,2747.574236111111
MW1,2020-04-30,2020-04-30,2747.587076923077
MW1,2020-05-01,NA,NA
MW1,2020-05-02,NA,NA
MW1,2020-05-03,NA,NA
MW1,2020-05-04,NA,NA
MW1,2020-05-05,NA,NA
