Date,Stage_CM,Q_CM,site
8/17/2018,18,0.31,S2
6/5/2019,46,1.52,S2
6/11/2019,53,1.76,S2
6/19/2019,72,2.68,S2
8/23/2019,24,0.34,S2
5/22/2020,43,1.09,S2
5/29/2020,54,1.8,S2
6/4/2020,69,2.87,S2
6/11/2020,50,1.4,S2
6/11/2020,50,1.58,S2
6/25/2020,50,1.56,S2
7/1/2020,43,1.16,S2
7/14/2020,37,0.95,S2
7/28/2020,29,0.55,S2
5/25/2021,52,1.77,S2
6/4/2021,65,2.6,S2
6/8/2021,95,5.38,S2
6/22/2021,63,2.36,S2
7/20/2021,34,0.77,S2
9/8/2021,21,0.29,S2
6/3/2022,48,1.56,S2
6/18/2022,76.5,3.44,S2
9/2/2022,20,0.32,S2
8/11/2022,23,0.42,S2
9/4/2022,16,0.19,S2
5/24/2023,57.5,2.12,S2
6/7/2023,70,2.86,S2
5/22/2020,29,1.15,S1
5/29/2020,36,1.52,S1
6/4/2020,47,2.62,S1
6/11/2020,33,1.56,S1
6/11/2020,33,1.7,S1
6/25/2020,34,1.63,S1
7/1/2020,24,1.23,S1
7/14/2020,24,0.99,S1
7/28/2020,16,0.61,S1
5/25/2021,34,1.75,S1
6/4/2021,46,2.6,S1
6/22/2021,41.5,2.21,S1
7/20/2021,19.5,0.73,S1
9/8/2021,8,0.28,S1
6/3/2022,32.5,1.54,S1
6/18/2022,53.5,3.39,S1
8/11/2022,11,0.43,S1
9/2/2022,8.5,0.32,S1
5/24/2023,39.5,2.07,S1
6/7/2023,48.5,2.87,S1
10/9/2024,65,0.15265,S1
10/9/2024,14,0.051,S2
